Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,,Baby leaves salad,60 Kettle Twists,,,
,,Vitamin Water Drink,11400 steps,,,
,,Bistro Salad,,,,
,,Electrolyte Drink,,,,
,,Dark Chocolate,,,,
,150.8,Black Coffee,60 Bicep Curls,,,
,,Electrolyte Drink,90 Shoulder Press,,,
,,Bistro Salad,60 Kettle Twists,,,
,,Dark Chocolate,60 Kettle Swings,,,
,,Chicken gravy,11300 steps,,,
,150.4,Black Coffee,100 Bicep Curls,,,
,,Electrolyte Drink,100 Shoulder Press,,,
,,Chicken gravy,15800 steps,,,
,,Magnum Hazlenut caramel,,,,
,,Vitamin Water Drink,,,,
,,Fanta Apple Flavour,,,,
,,Mozzarella Cheese,,,,
,150.4,Electrolyte Drink,100 Bicep Curls,,,
,,99% Cocoa,100 Shoulder Press,,,
,,Black Coffee,100 Lateral Raises,,,
,,Cod Liver Oil,100 Single Arm Row,,,
,,Bistro Salad,100 Kettle Swings,,,
,,Sesame soy chicken,,,,
,,Veggie Crunch,,,,
,,Cheese,,,,
,,Lamb Roganjosh,,,,
,149.4,Black Coffee,100 Bicep Curls,,,
,,Cod Liver Oil,100 Lateral Raises,,,
,,99% Cocoa Chocolate,100 Single Arm Row,,,
,,Cheese,100 Kettle Swings,,,
,,Lamb Roganjosh,11600 steps,,,
,,Air Fried Tandoori Chicken,,,,
,,Bulletproof Coffee,,,,
,,Sausage Rolls,,,,
,150.0,Black Coffee,80 Bicep Curls,,,
,,99% Cocoa Chocolate,60 Kettle Twists,,,
,,Cheese,12900 steps,,,
,,Tropical Fruit Drink,,,,
,149.2,Electrolyte Drink,60 Bicep Curls,,,
,,Bistro Salad,80 Kettle Twists,,,
,,Vitamin Water Drink,10000 steps,,,
,,Veg Pastries,,,,
,148.8,Bistro Salad,60 Bicep Curls,,,
,,Electrolyte Drink,80 Shoulder Press,,,
,,Bulletproof Coffee,60 Lateral Raises,,,
,,13 Almonds,60 Kettle Twists,,,
,,Mutton chop karachi gohst,60 Kettle Swings,,,
,,Fanta Apple Flavour,15300 steps,,,
,148.4,Bulletproof Coffee,80 Bicep Curls,,,
,,Bistro Salad,60 Single Arm Row,,,
,,Chicken Gravy,60 Lateral Raises,,,
,,Margerita Pizza with pesto,60 Kettle Twists,,,
,,Mango,16600 steps,,,
,,15 Almonds,,,,
,,Magnum Almond,,,,
,149.8,Black Coffee,60 Bicep Curls,,,
,,Bistro Salad,80 Lateral Raises,,,
,,Chewing gum,10300 steps,,,
,147.8,Bulletproof Coffee,60 Bicep Curls,,,
,,Electrolyte drink,60 Shoulder Press,22:00:00,,
,,2 Chewing gum,60 Kettle Swings,,,
,,Chicken Gravy,16300 steps,,,
,,Coffee,,,,
,147.6,Coffee,60 Bicep Curls,07:30:00,,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,4 Chewing gum,13300 steps,,,
,,Keto nuts crunch,,,,
,,Ham and Cheese Jambon,,,,
,148.2,2 Coffee,60 Bicep Curls,08:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,23:30:00,,
,,Chicken Gravy,10800 steps,,,
,,4 Chewing gum,,,,
,146.6,Bulletproof Coffee,100 Bicep Curls,07:30:00,,
,,2 Electrolyte Drink,100 Shoulder Press,20:30:00,,
,,20 Almonds,120 Lateral Raises,,,
,,4 Chewing gum,100 Kettle Swings,,,
,,2 Vitamin drink,13100 steps,,,
,147.2,Coffee,120 Bicep Curls,09:00:00,,
,,2 Electrolyte Drink,120 Shoulder Press,22:00:00,,
,,30 Almonds,100 Lateral Raises,,,
,,6 Chewing gum,100 Kettle Swings,,,
,,Chicken Wings,10300 steps,,,
,,Veggie Protein Crunch,,,,
,,2 Vitamin drink,,,,
,146.8,2 Coffee,100 Bicep Curls,07:00:00,,
,,2 Chewing gum,12200 steps,,,
,146.2,2 Coffee,100 Bicep Curls,07:00:00,,
,,Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,20 Almonds,100 Lateral Raises,,,
,,Chicken Soup,100 Kettle Swings,,,
,,6 Chewing gum,6500 steps,,,
,,5 Brazil Nuts,,,,
,,Frank Sauce Shredded chicken,,,,
,147.2,Black Coffee,100 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,20 Almonds,100 Single Arm Row,,,
,,5 Brazil Nuts,13800 steps,,,
,,7 Chewing Gum,,,,
,146.2,Black Coffee,60 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
