Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health,
,,Chicken Gravy,20 Kettle Twists,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health,
2025-09-27,,,,,,,C:\Users\anbal\Downloads\FAILED\Hobby.xlsx,Video Gaming,45927
2025-08-08,129.4,2 Electrolyte Drink,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health,45877
,,75 Almonds,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health,
,,Black Coffee,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health,
2025-10-17,129,Electrolyte Drink,,10:30:00,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health,45947
,,Spinach,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health,
,,,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health,
2025-08-12,,,,,,,C:\Users\anbal\Downloads\HONKAIWQ\Hobby.xlsx,PC Gaming,45881
2025-07-14,132.8,4L water,100 Bicep Curls,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,45852
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,
,,2 Electrolyte Drink,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,
,,20 Pumpkin Seed,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,
,,20 Almonds,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,
2025-09-08,128.4,Electrolyte Drink,60 Bicep Curls,08:00:00,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,45908
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,20 Almonds,60 Vertical Raises,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,Chicken Karahi gravy,60 Single Arm Row,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,Cod Liver Oil,60 Kettle Swings,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,fanta zero,8400 Ssteps,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,vitamin drink,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
,,protein crunch,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,
2025-08-10,129.2,Electrolyte Drink,100 Bicep Curls,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,45879
,,Cod Liver Oil,100 Shoulder Press,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,
,,Black Coffee,100 Kettle Swings,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,
,,15 Almonds,,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,
2025-08-10,,,,,,,C:\Users\anbal\Downloads\jinwu\Hobby.xlsx,PC Gaming,45879
2025-08-25,131,Black Coffee,100 Bicep Curls,08:30:00,Brush,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,45894
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
,,Bistro Salad,100 Kettle Twists,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
,,Chicken Legs,20 Kettle Swings,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
,,7 up zero,,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,
2025-08-25,,,,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship,45894
,,,,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship,
2025-08-25,,,,,,,C:\Users\anbal\Downloads\kalpass\Wealth.xlsx,Expenditure,45894
2025-10-09,128.6,3 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,45939
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,80 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,,10200 steps,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
2025-10-10,127.4,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,45940
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,35 Almonds,40 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Spinach,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,
2025-08-03,129.8,4L water,,,,,C:\Users\anbal\Downloads\LOSER\Health.xlsx,Health,45872
2025-08-22,129.2,2 Black Coffee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,45891
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
,,Spinach,100 Kettle Twists,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
,,,10200 steps,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,
2025-08-22,,,,,,,C:\Users\anbal\Downloads\mathematics\Hobby.xlsx,PC Gaming,45891
2025-08-01,131,Electrolyte Drink,100 Bicep Curls,07:00:00,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,45870
,,Black Coffee,100 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,
,,Spinach,60 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,
,,20 Almonds,100 Kettle Twists,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career,45860
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career,
