Date,Weight,Nutrition,Exercise
01-06-2025,143.8,Black Coffee,60 Bicep Curls
31-05-2025,,,
31-05-2025,144.2,2 Black Coffee,60 Bicep Curls
31-05-2025,,,
30-05-2025,,,
30-05-2025,146,2 Black Coffee,60 Bicep Curls
29-05-2025,146.2,Black Coffee,60 Bicep Curls
28-05-2025,147.2,Black Coffee,100 Bicep Curls
27-05-2025,146.2,2 Coffee,100 Bicep Curls
26-05-2025,146.8,2 Coffee,100 Bicep Curls
25-05-2025,147.2,Coffee,120 Bicep Curls
24-05-2025,146.6,Bulletproof Coffee,100 Bicep Curls
23-05-2025,148.2,2 Coffee,60 Bicep Curls
22-05-2025,147.6,Coffee,60 Bicep Curls
21-05-2025,147.8,Bulletproof Coffee,60 Bicep Curls
20-05-2025,149.8,Black Coffee,60 Bicep Curls
19-05-2025,,,
19-05-2025,148.4,Bulletproof Coffee,80 Bicep Curls
18-05-2025,148.8,Bistro Salad,60 Bicep Curls
17-05-2025,149.2,Electrolyte Drink,60 Bicep Curls
16-05-2025,,,
16-05-2025,,,
16-05-2025,150,Black Coffee,80 Bicep Curls
16-05-2025,,,
15-05-2025,149.4,Black Coffee,100 Bicep Curls
15-05-2025,,,
14-05-2025,,,
14-05-2025,150.4,Electrolyte Drink,100 Bicep Curls
13-05-2025,150.4,Black Coffee,100 Bicep Curls
13-05-2025,,,
12-05-2025,,,
12-05-2025,150.8,Black Coffee,60 Bicep Curls
11-05-2025,,,
11-05-2025,151.4,Bulletproof Coffee,60 Bicep Curls
10-05-2025,,,
10-05-2025,151.6,2x Black Coffee,60 Bicep Curls
09-05-2025,150.6,Black Coffee,60 Bicep Curls
08-05-2025,151.4,Black Coffee,60 Bicep Curls
07-05-2025,152.8,Black Coffee,60 Bicep Curls
06-05-2025,151.2,Black Coffee,60 Shoulder Press
05-05-2025,152.2,Black Coffee,60 Shoulder Press
04-05-2025,153.4,Black Coffee,60 Bicep Curls
03-05-2025,158,Black Coffee,60 Bicep Curls
03-01-2025,,,
