Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,Date_raw,Date_parsed
,,,,,,,nan,
,,,,,,,nan,
,,,,,,Honey Cashews,nan,
,,,,,,Chicken Gravy,nan,
,137.0,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,45836.0,
,,,60 Shoulder Press,,Brush,Electrolyte Drink,nan,
,,,60 Single Arm Row,,,20 Almonds,nan,
,,,60 Kettle Twists,,,50 Pumpkin seed,nan,
,,,10000 steps,,,Spinach,nan,
,,,,,,8l water,nan,
,128.2,2 Electrolyte Drink,60 Bicep Curls,,,,45961.0,
,,Cod Liver Oil,40 Lateral Raises,,,,nan,
,,60 Almonds,,,,,nan,
,,Chicken Biryani,,,,,nan,
,158.0,Black Coffee,60 Bicep Curls,,,,45780.0,
,,15 Almonds,60 Lateral Raises,,,,nan,
,,5 Olives,60 Kettle Twists,,,,nan,
,,3 Eggs,60 Kettle Swings,,,,nan,
,,Mango,,,,,nan,
,,Spinach and Rocket Leaves,,,,,nan,
,,Protein Coffee,,,,,nan,
,153.4,Black Coffee,60 Bicep Curls,,,,45781.0,
,,25 Almonds,60 Lateral Raises,,,,nan,
,,Chicken Sushi,10000 steps,,,,nan,
,,Coconut Water,,,,,nan,
,152.2,Black Coffee,60 Shoulder Press,,,,45782.0,
,,Electrolyte Drink,60 Single Arm Row,,,,nan,
,,20 Almonds,60 Kettle Twists,,,,nan,
,,Chicken Wings,60 Kettle Swings,,,,nan,
,,Spinach and Rocket Leaves,10000 steps,,,,nan,
,,Veggie crunch,,,,,nan,
,151.2,Black Coffee,60 Shoulder Press,,,,45783.0,
,,Chicken Wings,60 Kettle Twists,,,,nan,
,,Spinach and Rocket Leaves,60 Kettle Swings,,,,nan,
,,Chicken Soup,10000 steps,,,,nan,
,,3  Eggs,,,,,nan,
,,Strawberry,,,,,nan,
,,American Pizza,,,,,nan,
,,Diet Coke,,,,,nan,
,152.8,Black Coffee,60 Bicep Curls,,,,45784.0,
,,Electrolyte Drink,60 Shoulder Press,,,,nan,
,,Baby Leaves,60 Lateral Raises,,,,nan,
,,Chicken Soup,60 Kettle Swings,,,,nan,
,,Diet Coke,12300 steps,,,,nan,
,,2x Mango Chunks,,,,,nan,
,,Seesame Chicken,,,,,nan,
,,KFC Chicken Wings,,,,,nan,
,151.4,Black Coffee,60 Bicep Curls,,,,45785.0,
,,20 Almonds,60 Lateral Raises,,,,nan,
,,Baby Leaves Salad,60 Kettle Twists,,,,nan,
,150.6,Black Coffee,60 Bicep Curls,,,,45786.0,
,,2x Electrolyte Drink,60 Shoulder Press,,,,nan,
,,Rice with Chicken Gravy,60 Kettle Twists,,,,nan,
,,Baby Leaves Salad,60 Kettle Swings,,,,nan,
,,Veggie Protein Crunch,10000 steps,,,,nan,
,151.6,2x Black Coffee,60 Bicep Curls,,,,45787.0,
,,Chicken Gravy,7000 steps,,,,nan,
,151.4,Bulletproof Coffee,60 Bicep Curls,,,,45788.0,
,,Baby leaves salad,60 Kettle Twists,,,,nan,
,,Vitamin Water Drink,11400 steps,,,,nan,
,,Bistro Salad,,,,,nan,
,,Electrolyte Drink,,,,,nan,
,,Dark Chocolate,,,,,nan,
,150.8,Black Coffee,60 Bicep Curls,,,,45789.0,
,,Electrolyte Drink,90 Shoulder Press,,,,nan,
,,Bistro Salad,60 Kettle Twists,,,,nan,
,,Dark Chocolate,60 Kettle Swings,,,,nan,
,,Chicken gravy,11300 steps,,,,nan,
,150.4,Black Coffee,100 Bicep Curls,,,,45790.0,
,,Electrolyte Drink,100 Shoulder Press,,,,nan,
,,Chicken gravy,15800 steps,,,,nan,
,,Magnum Hazlenut caramel,,,,,nan,
,,Vitamin Water Drink,,,,,nan,
,,Fanta Apple Flavour,,,,,nan,
,,Mozzarella Cheese,,,,,nan,
,150.4,Electrolyte Drink,100 Bicep Curls,,,,45791.0,
,,99% Cocoa,100 Shoulder Press,,,,nan,
,,Black Coffee,100 Lateral Raises,,,,nan,
,,Cod Liver Oil,100 Single Arm Row,,,,nan,
,,Bistro Salad,100 Kettle Swings,,,,nan,
,,Sesame soy chicken,,,,,nan,
,,Veggie Crunch,,,,,nan,
,,Cheese,,,,,nan,
,,Lamb Roganjosh,,,,,nan,
,149.4,Black Coffee,100 Bicep Curls,,,,45792.0,
,,Cod Liver Oil,100 Lateral Raises,,,,nan,
,,99% Cocoa Chocolate,100 Single Arm Row,,,,nan,
,,Cheese,100 Kettle Swings,,,,nan,
,,Lamb Roganjosh,11600 steps,,,,nan,
,,Air Fried Tandoori Chicken,,,,,nan,
,,Bulletproof Coffee,,,,,nan,
,,Sausage Rolls,,,,,nan,
,150.0,Black Coffee,80 Bicep Curls,,,,45793.0,
,,99% Cocoa Chocolate,60 Kettle Twists,,,,nan,
,,Cheese,12900 steps,,,,nan,
,,Tropical Fruit Drink,,,,,nan,
,149.2,Electrolyte Drink,60 Bicep Curls,,,,45794.0,
,,Bistro Salad,80 Kettle Twists,,,,nan,
,,Vitamin Water Drink,10000 steps,,,,nan,
,,Veg Pastries,,,,,nan,
,148.8,Bistro Salad,60 Bicep Curls,,,,45795.0,
,,Electrolyte Drink,80 Shoulder Press,,,,nan,
,,Bulletproof Coffee,60 Lateral Raises,,,,nan,
,,13 Almonds,60 Kettle Twists,,,,nan,
,,Mutton chop karachi gohst,60 Kettle Swings,,,,nan,
,,Fanta Apple Flavour,15300 steps,,,,nan,
,148.4,Bulletproof Coffee,80 Bicep Curls,,,,45796.0,
,,Bistro Salad,60 Single Arm Row,,,,nan,
,,Chicken Gravy,60 Lateral Raises,,,,nan,
,,Margerita Pizza with pesto,60 Kettle Twists,,,,nan,
,,Mango,16600 steps,,,,nan,
,,15 Almonds,,,,,nan,
,,Magnum Almond,,,,,nan,
,149.8,Black Coffee,60 Bicep Curls,,,,45797.0,
,,Bistro Salad,80 Lateral Raises,,,,nan,
,,Chewing gum,10300 steps,,,,nan,
,147.8,Bulletproof Coffee,60 Bicep Curls,,,,45798.0,
,,Electrolyte drink,60 Shoulder Press,22:00:00,,,nan,
,,2 Chewing gum,60 Kettle Swings,,,,nan,
,,Chicken Gravy,16300 steps,,,,nan,
,,Coffee,,,,,nan,
,147.6,Coffee,60 Bicep Curls,07:30:00,,,45799.0,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,4 Chewing gum,13300 steps,,,,nan,
,,Keto nuts crunch,,,,,nan,
,,Ham and Cheese Jambon,,,,,nan,
,148.2,2 Coffee,60 Bicep Curls,08:00:00,,,45800.0,
,,2 Electrolyte Drink,60 Shoulder Press,23:30:00,,,nan,
,,Chicken Gravy,10800 steps,,,,nan,
,,4 Chewing gum,,,,,nan,
,146.6,Bulletproof Coffee,100 Bicep Curls,07:30:00,,,45801.0,
,,2 Electrolyte Drink,100 Shoulder Press,20:30:00,,,nan,
,,20 Almonds,120 Lateral Raises,,,,nan,
,,4 Chewing gum,100 Kettle Swings,,,,nan,
,,2 Vitamin drink,13100 steps,,,,nan,
,147.2,Coffee,120 Bicep Curls,09:00:00,,,45802.0,
,,2 Electrolyte Drink,120 Shoulder Press,22:00:00,,,nan,
,,30 Almonds,100 Lateral Raises,,,,nan,
,,6 Chewing gum,100 Kettle Swings,,,,nan,
,,Chicken Wings,10300 steps,,,,nan,
,,Veggie Protein Crunch,,,,,nan,
,,2 Vitamin drink,,,,,nan,
,146.8,2 Coffee,100 Bicep Curls,07:00:00,,,45803.0,
,,2 Chewing gum,12200 steps,,,,nan,
,146.2,2 Coffee,100 Bicep Curls,07:00:00,,,45804.0,
,,Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,20 Almonds,100 Lateral Raises,,,,nan,
,,Chicken Soup,100 Kettle Swings,,,,nan,
,,6 Chewing gum,6500 steps,,,,nan,
,,5 Brazil Nuts,,,,,nan,
,,Frank Sauce Shredded chicken,,,,,nan,
,147.2,Black Coffee,100 Bicep Curls,07:00:00,,,45805.0,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,20 Almonds,100 Single Arm Row,,,,nan,
,,5 Brazil Nuts,13800 steps,,,,nan,
,,7 Chewing Gum,,,,,nan,
,146.2,Black Coffee,60 Bicep Curls,07:00:00,,,45806.0,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,5 Brazil Nuts,60 Kettle Twists,,,,nan,
,146.0,2 Black Coffee,60 Bicep Curls,07:00:00,,,45807.0,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,2 Brazil Nuts,60 Kettle Twists,,,,nan,
,,Chicken Wings,12300 steps,,,,nan,
,144.2,2 Black Coffee,60 Bicep Curls,07:00:00,,,45808.0,
,,Rajma Gravy,12500 steps,,,,nan,
,,Paneer Matar Masala,,,,,nan,
,,Potato Gravy,,,,,nan,
,143.8,Black Coffee,60 Bicep Curls,07:00:00,,,45809.0,
,,8 Brazil Nuts,60 Kettle Twists,,,,nan,
,,3 BBQ Chicken Skewers,,,,,nan,
,145.0,2 Black Coffee,100 Bicep Curls,07:00:00,,,45810.0,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,3 Brazil Nuts,60 Kettle Twists,,,,nan,
,,Chicken Gravy,14000 steps,,,,nan,
,143.6,2 Black Coffee,60 Bicep Curls,07:00:00,,,45811.0,
,,Chicken Gravy,11700 steps,,,,nan,
,,Chicken Goujon,,,,,nan,
,,4 Mutton Chops,,,,,nan,
,144.2,Black Coffee,100 Bicep Curls,07:00:00,,,45812.0,
,,2 Electrolyte Drink,100 Shoulder Press,22:30:00,,,nan,
,142.2,2 Black Coffee,60 Bicep Curls,06:30:00,,,45813.0,
,,Chicken Gravy,10600 steps,,,,nan,
,,Vitamin Water,,,,,nan,
,,2 Veggie Crunch,,,,,nan,
,,Chicken Bites,,,,,nan,
,,Cookie Protein Bar,,,,,nan,
,143.4,Black Coffee,60 Bicep Curls,09:00:00,,,45814.0,
,,30 Almonds,60 Single Arm Row,,,,nan,
,,Chicken Gravy,13400 steps,,,,nan,
,,Pizza,,,,,nan,
,144.0,Black Coffee,100 Bicep Curls,08:00:00,,,45815.0,
,,6 Chicken Drumsticks,100 Punch,,,,nan,
,,,15600 steps,,,,nan,
,142.8,2 Black Coffee,60 Bicep Curls,07:00:00,,,45816.0,
,,2 Electrolyte Drink,60 Shoulder Press,22:30:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,35 Almonds,60 Single Arm Row,,,,nan,
,,30 Cashews,60 Kettle Twists,,,,nan,
,,3 Brazil Nuts,60 Kettle Swings,,,,nan,
,,Spinach,20200 steps,,,,nan,
,,6 Chicken Drumsticks,,,,,nan,
,143.6,Black Coffee,100 Bicep Curls,07:00:00,,,45817.0,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,70 Cashews,60 Single Arm Row,,,,nan,
,,20 Almonds,60 Kettle Twists,,,,nan,
,,Spinach and Kale,60 Kettle Swings,,,,nan,
,,Chicken Gravy,11200 steps,,,,nan,
,143.4,Black Coffee,60 Bicep Curls,07:00:00,,,45818.0,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,20 Almonds,60 Single Arm Row,,,,nan,
,,Spinach and Kale,60 Kettle Twists,,,,nan,
,,Fanta Apple Flavour,10000 steps,,,,nan,
,,Sprite Zero,,,,,nan,
,142.8,2 Black Coffee,80 Bicep Curls,07:00:00,,,45819.0,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,43 Almonds,60 Single Arm Row,,,,nan,
,,Spinach and Kale,60 Kettle Twists,,,,nan,
,,Chicken Gravy,80 Kettle Swings,,,,nan,
,142.0,2 Black Coffee,60 Bicep Curls,07:00:00,,,45820.0,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,141.8,Black Coffee,60 Bicep Curls,07:00:00,,,45821.0,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,25 Almonds,60 Single Arm Row,,,,nan,
,,Spinach and Kale,60 Kettle Twists,,,,nan,
,,6 Chicken Drumsticks,60 Kettle Swings,,,,nan,
,,Veggie Protein Crunch,15400 steps,,,,nan,
,140.2,2 Black Coffee,100 Bicep Curls,07:00:00,,,45822.0,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,100 Lateral Raises,,,,nan,
,,45 Almonds,60 Single Arm Row,,,,nan,
,,Spinach,60 Kettle Twists,,,,nan,
,,Vitamin Water,16300 steps,,,,nan,
,140.6,2 Black Coffee,60 Bicep Curls,07:30:00,,,45823.0,
,,3 Electrolyte Drink,60 Shoulder Press,23:59:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,,10800 steps,,,,nan,
,140.0,Black Coffee,100 Bicep Curls,06:00:00,,,45824.0,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,,nan,
,,,10900 steps,,,,nan,
,139.8,2 Black Coffee,60 Bicep Curls,08:05:00,,,45825.0,
,,3 Electrolyte Drink,60 Shoulder Press,22:30:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,20 Almonds,60 Single Arm Row,,,,nan,
,,Spinach,60 Kettle Twists,,,,nan,
,,Curd,60 Kettle Swings,,,,nan,
,,Chicken Gravy,13600 steps,,,,nan,
,139.6,Black Coffee,60 Bicep Curls,06:20:00,,,45826.0,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,06:45:00,,,nan,
,,20 Almonds,60 Single Arm Row,10:00:00,,,nan,
,,Spinach,60 Kettle Twists,,,,nan,
,,Curd,60 Kettle Swings,,,,nan,
,,Chicken Gravy,12400 steps,,,,nan,
,,7 up pink,,,,,nan,
,,Nankhatai,,,,,nan,
,,Siu Mai Dumplings,,,,,nan,
,140.0,2 Black Coffee,60 Bicep Curls,Wake up: 06:00,,,45827.0,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:30,,,nan,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 11:00,,,nan,
,,20 Almonds,60 Single Arm Row,Sleep: 22:45,,,nan,
,,1 Mutton Chops,14600 steps,,,,nan,
,138.6,Black Coffee,60 Bicep Curls,Wake up: 06:00,,,45828.0,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 20:30,,,nan,
,,65 Almonds,60 Single Arm Row,Sleep: 22:00,,,nan,
,,Spinach,60 Kettle Twists,,,,nan,
,,4 Mutton Chops,60 Kettle Swings,,,,nan,
,,Vitamin Water,12000 steps,,,,nan,
,,Vegetable Dumplings,,,,,nan,
,,Miso Soup,,,,,nan,
,140.6,2 Black Coffee,60 Bicep Curls,Wake up: 6:00,,,45829.0,
,,3 Electrolyte Drink,60 Shoulder Press,Eat start: 8:00,,,nan,
,,Cod Liver Oil,60 Lateral Raises,Eat end: 13:00,,,nan,
,,20 Almonds,60 Single Arm Row,!Sleep: 22:00,,,nan,
,,7 up pink,12500 steps,,,,nan,
,138.6,,60 Bicep Curls,06:00:00,Brush,Cod Liver Oil,45830.0,
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink,nan,
,,,60 Lateral Raises,,,2 Coffee,nan,
,,,60 Single Arm Row,,,55 Almonds,nan,
,,,60 Kettle Swings,,,Chicken gravy,nan,
,137.4,,60 Bicep Curls,06:00:00,Brush,2 Coffee,45831.0,
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink,nan,
