Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_parsed,Date_fixed
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,Spinach,100 Kettle Twists,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,,10200 steps,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health,,
,,Black Coffee,100 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,,
,,Spinach,60 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,,
,,20 Almonds,100 Kettle Twists,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1,,
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career,,
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,380 Pumpkin seed,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Bistro Salad,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Vitamin Drink,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,30 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,70 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,,13100 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure,,
,,Keto Crunch,60 Shoulder Press,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health,,
,,Mas+ Drink,3530 steps,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,,
,,Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,,
,,Sindhi Chicken Biryani,60 Kettle Swings,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,,
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime,,
,,,,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure,,
,,,60 Shoulder Press,23:00:00,Brush,2 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Single Arm Row,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Kettle Twists,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Kettle Swings,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,10000 steps,,,Club Tropical,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,Pollo Picado Pizza,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,Chocolate cake,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,Honey Cashews,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Shoulder Press,,Brush,Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Single Arm Row,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,60 Kettle Twists,,,50 Pumpkin seed,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,10000 steps,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,,
,,Cod Liver Oil,40 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,,
,,60 Almonds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,,
,,Chicken Biryani,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,,
,,2 Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,15 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,5 Olives,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Eggs,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Mango,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Rocket Leaves,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Protein Coffee,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,25 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,5 Olives,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Sushi,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Coconut Water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Mango,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Rocket Leaves,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Electrolyte Drink,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
