Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_parsed,Date_fixed
,,Club Tropical,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Vitamin Water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Pizza,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Magnum Almond,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,100 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Brazil Nuts,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,6 Chicken Drumsticks,100 Punch,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,15600 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,22:30:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,35 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,30 Cashews,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Brazil Nuts,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,20200 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,6 Chicken Drumsticks,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,70 Cashews,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Kale,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,11200 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Vitamin Water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Kale,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Fanta Apple Flavour,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Sprite Zero,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,43 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Kale,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,80 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,10200 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Kale,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,10200 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,25 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach and Kale,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,6 Chicken Drumsticks,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Veggie Protein Crunch,15400 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Sprite Zero,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,100 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,45 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,6 Chicken Drumsticks,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Vitamin Water,16300 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Sprite Zero,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,60 Shoulder Press,23:59:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,10800 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,100 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,10900 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,60 Shoulder Press,22:30:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Curd,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,13600 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,06:45:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,10:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Curd,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,12400 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,7 up pink,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Fanta Apple Flavour,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Nankhatai,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Siu Mai Dumplings,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:30,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 11:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,Sleep: 22:45,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,1 Mutton Chops,14600 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 20:30,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,65 Almonds,60 Single Arm Row,Sleep: 22:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,4 Mutton Chops,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Vitamin Water,12000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Vegetable Dumplings,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Miso Soup,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,3 Electrolyte Drink,60 Shoulder Press,Eat start: 8:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Cod Liver Oil,60 Lateral Raises,Eat end: 13:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,20 Almonds,60 Single Arm Row,!Sleep: 22:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,7 up pink,12500 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Club Tropical,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,Veggie Protein Crunch,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,,
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Lateral Raises,,,2 Coffee,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Single Arm Row,,,55 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Single Arm Row,,,40 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Shoulder Press,23:45:00,Bath,3 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,80 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Single Arm Row,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,14700 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Shoulder Press,22:00:00,Bath,Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Single Arm Row,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,15900 steps,,,Mas+ drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Shoulder Press,,,Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Single Arm Row,,,60 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,10000 steps,,,Mas+ drink,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,,,,Pumpkin seeds,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Wealth.xlsx,Expenditure,,
,,Black Coffee,100 Shoulder Press,,,,C:\Users\anbal\Downloads\the end of road\Health.xlsx,Health,,
,,2 Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Bistro Salad,60 Kettle Twists,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Fanta Zero,9000 steps,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Vitamin water,,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,Veggie crunch,,,,,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\The FALL\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\The FALL\Wealth.xlsx,Expenditure,,
,,2 Black Coffee,120 Shoulder Press,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,70 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Sprite Zero,10000 steps,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Black Coffee,120 Shoulder Press,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,40 Almonds,,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,Rice,,,,,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,73 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Bistro Salad,60 Kettle Twists,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,,10600 steps,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Bistro Salad,60 Lateral Raises,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Twists,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,Achar Gohst Chicken,60 Kettle Swings,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,,7700 steps,,,,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,70 Almonds,60 Shoulder Press,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,,10600 steps,,,,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,Chicken Gravy,100 Kettle Twists,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,,20 Bicep Curls,,,,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health,,
,,Black Coffee,100 Shoulder Press,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,Electrolyte Drink,100 Lateral Raises,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,Spinach,60 Kettle Swings,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,,100 Shoulder Press,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,,20 Single Arm Row,,,,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\wow gmaeee\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\wow gmaeee\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\wow gmaeee\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\wow gmaeee\Wealth.xlsx,Expenditure,,
,,Black Coffee,,,,,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health,,
,,20 Pumpkin seeds,,,,,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health,,
,,20 Almonds,,,,,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health,,
,,Cod Liver Oil,100 Shoulder Press,,,,C:\Users\anbal\Downloads\xx512\Health.xlsx,Health,,
,,,20 Single Arm Row,,,,C:\Users\anbal\Downloads\xx512\Health.xlsx,Health,,
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Rice,4100 steps,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Fanta Chucky,,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,60 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Spinach,60 Single Arm Row,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Twists,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,Fanta Chucky,60 Kettle Swings,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,,5000 steps,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
